Text,Stemming,True Label,Predicted Label,Correct
@ZoneVenomWar Mending Danantara takeover LIB kalo bisa lumayan Klub yg jadi pemilik saham LIB dpt tambahan modal,mending danantara takeover lib kalo lumayan klub yg milik saham lib dpt tambah modal,1,0,False
@pagarkewarasan @sky_glas @tempodotco @prabowo nih buat @sky_glas yang ngeblokir gue ngerusak negara? - 28 koruptor ditangkap dalam 100 hari - Peningkatan Investasi - Efisiensi anggaran pejabat - Danantara MBG - Satgas anti mafia BBM semuanya dilakuin buat rakyat! musuh lo itu pejabat korup yg lo salahin presiden!blok,nih ngeblokir gue ngerusak negara 28 koruptor tangkap 100 tingkat investasi efisiensi anggar jabat danantara mbg satgas anti mafia bbm dilakuin rakyat musuh lo jabat korup yg lo salahin presidenblok,1,0,False
"Bisa tidak pemerintah minta ganti 193 7 triliyun ke mereka yg telah merugikan negara? Trs masukin k Danantara jangan ke kas negara Bangsa &amp; negara Indonesia pasti terjamin dah #bangsa #bangsaIndonesia #bangsaIndonesiakorupsi #bangsaIndonesiakorupsiterbanyak,perintah ganti 193 7 triliyun yg rugi negara trs masukin k danantara kas negara bangsa negara indonesia jamin dah bangsa bangsaindonesia bangsaindonesiakorupsi bangsaindonesiakorupsiterbanyak,1,0,False"
@ducklinggecko @tanyakanrl Makanya kak kita sebagai rakyat berdoa yang baik2. Boleh kok anti pemerintah atau kritik pemerintah tapi kita doain aja. Semoga program ini berjalan sesuai dengan tujuannya dan berhasil seperti tamasek. Toh kalau Danantara ini berhasil rakyat juga yang nikmatin hasilnya.,kak rakyat doa baik2 anti perintah kritik perintah doain aja moga program jalan sesuai tuju hasil tamasek danantara hasil rakyat nikmatin hasil,1,0,False
Danantara Bakal Diawasi dari Segala Arah Masyarakat tak Perlu Khawatir https://t.co/W7bc1BUt6P,danantara awas arah masyarakat khawatir,1,0,False
Privatisasa BUMN sama dgn menjual aset bangsa lewat Danantara mrpkn awal kebangkrutan negeri ini saat dipegang Jokowi Luhut bahkan si bocil Kaesang adlh politik balas budi Prabowo makanya Prabowo dijadikan Presiden. #JokowiPawangPrabowo #DanantaraKonspirasiJahad,privatisasa bumn dgn jual aset bangsa danantara mrpkn bangkrut negeri pegang jokowi luhut si bocil kaesang adlh politik balas budi prabowo prabowo jadi presiden jokowipawangprabowo danantarakonspirasijahad,1,0,False
@randyardhani @aloysidauruk @ezash Cuma bisa berdoa semoga asetnya gak ikut dicaplok BPI Danantara bang ,doa moga aset gak caplok bpi danantara bang,0,1,False
hebat! Danantara ngebahas topik penting dgn cara asyik https://t.co/666AnQ9PKz,hebat danantara ngebahas topik dgn asyik,1,0,False
@thelakeshadow Tim Danantara tunjukkan kerja yang profesional.,tim danantara tunjuk kerja profesional,1,0,False
@ARSIPAJA Udah biarin danantara yg investasi disini mah.,udah biarin danantara yg investasi mah,1,0,False
@kegblgnunfaedh Keputusan yg sangat Bagus.. harus di laksanakan pemerintah dan tanggung jawab NEGARA..!!! Kalau di tanyak dari man anggaran nya iya.. dari DANANTARA...!!!!!,putus yg bagus laksana perintah tanggung negara tanyak man anggar nya iya danantara,1,0,False
@tomiepalito Emang USD lg kuat2 nya tom. Trump aja udah sampe getol sama the fed. Bank kinerjanya bagus kok. Danantara DHE bank emas semua positif asal dikelola baik aja.,emang usd lg kuat2 nya tom trump aja udah sampe getol the fed bank kerja bagus danantara dhe bank emas positif kelola aja,1,0,False
@TOM5helby Pejabat korup kumpul jd 1 di danantara tarik dana kalian dari lembaga keuangan milik negara lbh baik pake bank semar atau bank jago,jabat korup kumpul jd 1 danantara tarik dana lembaga uang milik negara lbh pake bank mar bank jago,1,0,False
@pelat_baja @bengkeldodo Memangnya Danantara Pertamina Antam Asabri bisa nilep?? Cara nya bagaimana?? Jangan asal nge bacot ah kelihatan Bodoh nya,memang danantara pertamina antam asabri nilep nya nge bacot ah bodoh nya,1,0,False
@_riverheaven Danantara akan bangun 35 mega proyek hasil efisiensi anggaran https://t.co/M6hU94Yzj2,danantara bangun 35 mega proyek hasil efisiensi anggar,1,0,False
@thelakeshadow Pesan ini menunjukkan komitmen Danantara yang stabil.,pesan komitmen danantara stabil,1,0,False
Melalui Danantara BUMN akan Beroperasi Dengan Standar Yang Tinggi Governance Yang Baik. https://t.co/DYpFo0CDAg,danantara bumn operasi standar governance,1,0,False
JANGAN JADI KORBAN PERSAINGAN BEBAS..! Andi Arief Tegaskan Intervensi Politik Negara Diperlukan Danantara https://t.co/waw09K4auq lewat @BERGELORA.COM https://t.co/HFW4XIy21x,korban saing bebas andi arief tegas intervensi politik negara danantara com,1,0,False
@ilhampid Semoga Danantara bisa membuka banyak operasi penjajah penjajah kecil di dalam BUMN,moga danantara buka operasi jajah jajah bumn,1,0,False
@tanyakanrl pun kemungkinan bank BRI dan bank BUMN yang masuk danantara lainnya untuk rungkad itu nyaris kecil banget untuk sekarang karena semua bank di dunia punya mitigasi resiko tersendiri yang diatur sama Basel Committee on Banking Supervision (BCBS) yang isinya ngatur dari mulai,bank bri bank bumn masuk danantara rungkad banget bank dunia mitigasi resiko sendiri atur basel committee on banking supervision bcbs isi ngatur,1,0,False
Skema Investasi Danantara dan Huayou: buntung apa untung?? Read more: https://t.co/bM7Xjg1KB7 #Palestina #ForumInternasionalPrabowo Alhamdulillah #SuaraBatak #BatakBerbicara #TapanuliVoice #Innovation #AI #Breakingnews #DigitalNews #JKTInfo #KritikPemerintahan #WongCilik https://t.co/J2ohJuBueh,skema investasi danantara huayou buntung untung read more palestina foruminternasionalprabowo alhamdulillah suarabatak batakberbicara tapanulivoice innovation ai breakingnews digitalnews jktinfo kritikpemerintahan wongcilik,1,0,False
@hrdbacot Bersiap jadi umbi2an danantara,umbi2an danantara,0,1,False
buku Danantara bikin paham masa depan recommended abis https://t.co/AyOisjopCY,buku danantara bikin paham recommended abis,1,0,False
(Brainrot) Daripada itu danantara dipake investasi bodong lebih baik investasi dengan memperkerjakan ranah kreatif indo untuk bikin game otome gitu gasih? Buat merch official otome game kemudian sekalian ngasih rules untuk FA merch hanya boleh di indonesia. Kan lebih pasti,brainrot danantara dipake investasi bodong investasi kerja ranah kreatif indo bikin game otome gitu gasih merch official otome game ngasih rules fa merch indonesia,0,1,False
"@rgoestama Hidup Danantara &amp; MBG Hidup Jokowi,hidup danantara mbg hidup jokowi,1,0,False"
@AndiPitopang7 Katanya di Danantara ada 14.000 trilyun .cemana ini,danantara 14000 trilyun cemana,1,0,False
@ArdyaDipta @tekarok007 @Intel_Imut Penggiringan opini anda mengaitkan Danantara sudah sangat jelas efeknya banyak kebencian yang muncul atas opini kebodohan anda ini https://t.co/l1EYQOM24g,giring opini kait danantara efek benci muncul opini bodoh,1,0,False
ini vibe yang gue cari! Danantara emang jempolan https://t.co/WxtrbTpfPM,vibe gue cari danantara emang jempol,1,0,False
Gila ya replay org disini pada ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset sejahat itu sama negara sendiri mangknya di doain yg buruk,gila ya replay org ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset jahat negara mangknya doain yg buruk,1,0,False
@ruliemaulana Canggih relasinya danantara di New York. Gaboleh kan sama brics,canggih relasi danantara new york gaboleh brics,1,0,False
@txtdrimedia Padahal bisa buat modal ke danantara dan mbg tidak perlu efisiensi wkwkw,modal danantara mbg efisiensi wkwkw,1,0,False
@terong_berurat @bengkeldodo Investor meninggalkan Indonesia kemungkinan karena kebijakan ekonomi Presiden Prabowo Subianto seperti target pertumbuhan 8% dan kontrol pemerintah yang meningkat via Danantara Indonesia. Kekhawatiran akan irresponsibilitas fiskal defisit anggaran dan kemunduran demokrasi https://t.co/xfrxfE9mVc,investor tinggal indonesia bijak ekonomi presiden prabowo subianto target tumbuh 8 kontrol perintah tingkat via danantara indonesia khawatir irresponsibilitas fiskal defisit anggar mundur demokrasi,0,1,False
@sangmemequeen Ray Dalio takut danantara nanti saingin softbank ,ray dalio takut danantara saingin softbank,1,0,False
@kecilamat12 Danantara Tingkatkan Kualitas Pendidikan,danantara tingkat kualitas didik,1,0,False
Danantara ngentotttttt,danantara ngentotttttt,0,1,False
Rosan Roeslani Pimpin Danantara Erick Thohir Jadi Ketua Dewan Pengawas! https://t.co/KgeaQxkYp2,ros roeslani pimpin danantara erick thohir ketua dewan awas,1,0,False
Setuju dengan reymon malam ini ketika tata kelola menjadi transparansi untuk publik ini akan mematah kan persepsi publik yang ada saat ini so far kalo memang danantara di kelola dengani baik gua yakin insha allah indo bounce back dan siap menuju indonesia emas. amiinn,tuju reymon malam tata kelola transparansi publik patah persepsi publik so far kalo danantara kelola dengan gua insha allah indo bounce back indonesia emas amiinn,1,0,False
AI bukan masa depan tapi sudah jadi bagian dari hari ini! Danantara dan @TelkomIndonesia membuktikan bahwa kecerdasan buatan bisa membawa perubahan nyata. @KemenBUMN #telkomindonesia #bigbox #ai #danantara #artificialintelligence #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/82qqkGlJkB,ai danantara bukti cerdas buat bawa ubah nyata telkomindonesia bigbox ai danantara artificialintelligence tepatsolutifindonesia bumn elevatingyourfuture,0,1,False
Day2 danantara. Manyala BUMN!!!! https://t.co/a7H1epeidP,day2 danantara manyala bumn,1,0,False
@ardisatriawan Hidup danantara. Terus taruh duit di goto.... Modyaaarrr. Bukan korupsi yang bisa diperiksa KPK. Bubarrr,hidup danantara taruh duit goto modyaaarrr korupsi periksa kpk bubarrr,1,0,False
@GenZNusantara BPI Danantara fokus pada keberlanjutan siap-siap grebek investasi!,bpi danantara fokus lanjut siapsiap grebek investasi,1,1,True
@JedTeguh03 Support penuh dari Presiden Prabowo buat Danantara bikin optimis banget liat masa depan teknologi lokal,support penuh presiden prabowo danantara bikin optimis banget liat teknologi lokal,1,1,True
@txtdrimedia Danantara proyek perampokan selanjutnyaaaa... Siap-siap aja!,danantara proyek ampo selanjutnyaaaa siapsiap aja,0,0,True
@Metro_TV Wah semoga dengan adanya BPI Danantara bisa bantu tingkatkan investasi di Indo ya biar makin maju dan berkembang!,moga bpi danantara bantu tingkat investasi indo ya biar maju kembang,1,1,True
amit-amit dah kalau danantara malah tergantung capitalist arm federal amerika macam blackrock,amitamit dah danantara gantung capitalist arm federal amerika blackrock,0,0,True
@Rocky_Antonie @prabowo CAMPUR TANGAN ASING YANG DI DANANTARA GAK DIMASUKIN LIST JUGA BORR? taksin pake dimasukin kan tolol @prabowo https://t.co/6F6fuRISXl,campur tangan asing danantara gak dimasukin list borr taksin pake dimasukin tolol,0,0,True
Mainan mereka ini drama mau tenggelamin kasus Danantara sama kayak pagar laut ngangkat kasus lpg endingnya ngawang- ngawang. Toh mereka- mereka juga sekelompok garong rakyat. Duit rakyat di korupsi untuk mereka dan golongan mereka.,main drama tenggelamin danantara kayak pagar laut ngangkat lpg endingnya ngawang ngawang kelompok garong rakyat duit rakyat korupsi golong,0,0,True
@ARSIPAJA dewan penasihat danantara aja orang orang asing pak,dewan nasihat danantara aja orang orang asing,0,0,True
Dana Danantara sebaiknya dipakai buat subsidi otak Ini sama saja memamerkan kegagalan pemerintah untuk mengentaskan kemiskinan. #CabutUUTNI #TolakRUUPolri #TolakRUUKejaksaan #IndonesiaGelap #PeringatanDarurat,dana danantara pakai subsidi otak pamer gagal perintah entas miskin cabutuutni tolakruupolri tolakruukejaksaan indonesiagelap peringatandarurat,0,0,True
@reaareaa__ Setiap langkah Presiden Prabowo untuk support Danantara selalu jadi motivasi buat yang lain,langkah presiden prabowo support danantara motivasi,1,1,True
danantara dr namanya aja udh mencurigakan,danantara dr nama aja udh curiga,0,0,True
@ruang_perubahan Bau-bau nya Pertamina bakal bubar dan diganti dengan Vivo milik presiden. Untuk mengembangkan Vivo gampang ada dana ribuan triliun dari DANANTARA,baubau nya pertamina bubar ganti vivo milik presiden kembang vivo gampang dana ribu triliun danantara,0,0,True
@JedTeguh03 Salut sama Presiden Prabowo support ke Danantara bisa bawa perubahan baru bagi bangsa,salut presiden prabowo support danantara bawa ubah bangsa,1,1,True
@LeonPriceleon48 Danantara adalah jembatan menuju masa depan Indonesia yang lebih maju! #DanantaraMembangunNegri,danantara jembatan indonesia maju danantaramembangunnegri,1,1,True
@beppo0412 Mantap danantara lanjutkan,mantap danantara lanjut,1,1,True
@tawazunikhlas Tenang nanti prabowo tinggal jawab kami bangsa besar solusinya makan gratis danantara dan hilirisasi trus gibran menimpali tambah AI pak manusia yang gak pakai AI akan kalah dari manusia yang pakai AI . HOREE HIDUP JOKOWIIIIIII !!!!,tenang prabowo tinggal bangsa solusi makan gratis danantara hilir trus gibran timpal ai manusia gak pakai ai kalah manusia pakai ai horee hidup jokowiiiiiii,0,0,True
Klasemen Sementara Liga Korupsi Indonesia....dengan Pertamina New Entry... Bisa jadi Danantara yang bakal promosi musim depan *at least I can enjoy this part being WNI https://t.co/eoWGpxFiNx,klasemen liga korupsi indonesiadengan pertamina new entry danantara promosi musim at least i can enjoy this part being wni,0,0,True
