Text,Text Clean,Label,Predicted Label,Correct;;;
@msaid_didu Said didu emang bisa apaa? Danantara di komen i utang negara juga di komeni. Emang defisit apbn itu sejak said didu masih sekolah ya sudah defisit,Said didu emang bisa apaa Danantara di komen i utang negara juga di komeni Emang defisit apbn itu sejak said didu masih sekolah ya sudah defisit,2,0,False;;;
@tanyarlfes abis kerjasama danantara sama blackrock presiden kita langsung begini,abis kerjasama danantara sama blackrock presiden kita langsung begini,0,2,False;;;
@DS_yantie Mosok minta tambahan modal ke pemerintah dan negara katanya di cover danantara...,Mosok minta tambahan modal ke pemerintah dan negara katanya di cover danantara,0,2,False;;;
@miarta_kadek @Danantara_ri mungkin nanti bisa masukan defend id untuk bisa mendanai project² pertahanan.,mungkin nanti bisa masukan defend id untuk bisa mendanai project pertahanan,1,2,False;;;
ï¸ðŸ‡®ðŸ‡©Terima Kasih presiden #PrabowoBersihBersih #mafiamigas #sawityowit #Danantara #oporayam #LebaranGanteng #tni #polrihadir #TimnasDay #garudafans #indonesianidol #BersamaMembangunNegeri #RakyatBantuRakyat #SENIN #bajukurung #ibukandung #zonauangá… á… á…  https://t.co/DmpphJINwj,Terima Kasih presiden PrabowoBersihBersih mafiamigas sawityowit Danantara oporayam LebaranGanteng tni polrihadir TimnasDay garudafans indonesianidol BersamaMembangunNegeri RakyatBantuRakyat SENIN bajukurung ibukandung zonauang,1,0,False;;;
@kegblgnunfaedh 2025 sejak UU TNI sah next in line RUU Polri Kejaksaan Penyiaran dll. Ada Danantara yg capek dikejar buat diliput. Ada temen maraton aksi dari sebelum puasa sampe jelang lebaran beberapa nyaris keancam privasinya. Pas bukber ada temen ngetawain aksi Kamisan.,2025 sejak UU TNI sah next in line RUU Polri Kejaksaan Penyiaran dll Ada Danantara yg capek dikejar buat diliput Ada temen maraton aksi dari sebelum puasa sampe jelang lebaran beberapa nyaris keancam privasinya Pas bukber ada temen ngetawain aksi Kamisan,2,0,False;;;
Umumnya emiten menetapkan dividend payout ratio (DPR) tahun buku 2024 yang relatif stabil dibandingkan tahun buku 2023 tetapi kami melihat terdapat kecenderungan peningkatan DPR dari emiten BUMN seiring pembentukan BPI Danantara.,Umumnya emiten menetapkan dividend payout ratio DPR tahun buku 2024 yang relatif stabil dibandingkan tahun buku 2023 tetapi kami melihat terdapat kecenderungan peningkatan DPR dari emiten BUMN seiring pembentukan BPI Danantara,1,2,False;;;
@AGON1SED @idiotkasta thiss pliss share lg kak mungkin ada wong indon juga yg kerja sbg asn rang bumn like pertamina n telkom danantara dan kroni2 oligarki lain di aussie tuhh mereka gerombol sendiri bikin sekte atau nelanjangin urat malu di mata dunia juga?,thiss pliss share lg kak mungkin ada wong indon juga yg kerja sbg asn rang bumn like pertamina n telkom danantara dan kroni2 oligarki lain di aussie tuhh mereka gerombol sendiri bikin sekte atau nelanjangin urat malu di mata dunia juga,2,0,False;;;
korupsi baru diungkap setelah jalan 5 tahun bertepatan pula sama isu Danantara. sekarang fokus rakyat jadi terbelah bahas Pertamax sama bahas Danantara,korupsi baru diungkap setelah jalan 5 tahun bertepatan pula sama isu Danantara sekarang fokus rakyat jadi terbelah bahas Pertamax sama bahas Danantara,0,2,False;;;
@JhonSitorus_18 Selama dia di BUMN PLN ber-utang Pertamina ber-utang dll sekarang ditunjuk pula di Danantara (jampi² apa yg dipakainya).,Selama dia di BUMN PLN berutang Pertamina berutang dll sekarang ditunjuk pula di Danantara jampi apa yg dipakainya,0,2,False;;;
@MourimBall @tanyakanrl BUMN = ANAKNYA DANANTARA = EMAKNYA,BUMN ANAKNYA DANANTARA EMAKNYA,2,0,False;;;
@AsahPolaPikir Danantara siap menyusul saudara2,Danantara siap menyusul saudara2,2,1,False;;;
highlights hari ini: - lebaran di rumah keluarga mamas. ngga full team tapi tetap hangat berkesan - dining table deep talk ihwal perekonomian negara bareng pakpuh. kami ngobrolin merosotnya IHSG investasi danantara potensi krisis hingga intimidasi media sambil makan opor.,highlights hari ini lebaran di rumah keluarga mamas ngga full team tapi tetap hangat berkesan dining table deep talk ihwal perekonomian negara bareng pakpuh kami ngobrolin merosotnya IHSG investasi danantara potensi krisis hingga intimidasi media sambil makan opor,2,0,False;;;
@profesor_saham pasti lagi bahas sesuatu hal atau diskusi terkait elemen penting di danantara tapi yg diajak diskusi cuma mangguk2 doang dan tentu saja lawan bicaranya kurang berpengetahuan,pasti lagi bahas sesuatu hal atau diskusi terkait elemen penting di danantara tapi yg diajak diskusi cuma mangguk2 doang dan tentu saja lawan bicaranya kurang berpengetahuan,0,2,False;;;
@TOM5helby Pejabat korup kumpul jd 1 di danantara tarik dana kalian dari lembaga keuangan milik negara lbh baik pake bank semar atau bank jago,Pejabat korup kumpul jd 1 di danantara tarik dana kalian dari lembaga keuangan milik negara lbh baik pake bank semar atau bank jago,1,0,False;;;
tadi malam ketiduran sambil nonton https://t.co/sBSG24A0hL just in case (if i suddenly die i wont be arwah penasaran karna bingung sebenernya danantara itu apa gmn dan kenapa aneh),tadi malam ketiduran sambil nonton just in case if i suddenly die i wont be arwah penasaran karna bingung sebenernya danantara itu apa gmn dan kenapa aneh,2,0,False;;;
Siap Bapak Presiden Saya ahli KIP menang 4x lawan KPU kini gugat BPOM &amp; Kemenkes soal kontrak vaksin &amp; data siap audit Danantara via KIP. Butuh ahli keuangan/auditor tuk susun daftar info &amp; analisis data. Minat bantu? WA di profil. Transparansi demi rakyat! https://t.co/9Y79LXXsPL,Siap Bapak Presiden Saya ahli KIP menang 4x lawan KPU kini gugat BPOM dan Kemenkes soal kontrak vaksin dan data siap audit Danantara via KIP Butuh ahli keuanganauditor tuk susun daftar info dan analisis data Minat bantu WA di profil Transparansi demi rakyat,1,0,False
Danantara yang resmi diluncurkan Senin lalu diharapkan dapat mengubah cara pengelolaan kekayaan negara demi kepentingan masyarakat https://t.co/N9HiiNH8tL,Danantara yang resmi diluncurkan Senin lalu diharapkan dapat mengubah cara pengelolaan kekayaan negara demi kepentingan masyarakat,1,2,False;;;
Day2 danantara. Manyala BUMN!!!! https://t.co/a7H1epeidP,Day2 danantara Manyala BUMN,1,0,False;;;
Danantara gagal ekonomi runtuh. Kita turun ke jalan bareng-bareng gaes. Di momen itu ga bakal ada kerjaan. Lalu ngapain? Ya demo..,Danantara gagal ekonomi runtuh Kita turun ke jalan barengbareng gaes Di momen itu ga bakal ada kerjaan Lalu ngapain Ya demo,0,1,False;;;
@Yudaduy__ @Saham_fess Masalahnyaa adalah ada si danantara yang membuat skemanya berubah sekua data dan informasi serta peta laju perusahaan berubah dan banyak kekhawatiran terhadap si danantara masalahnya bukan cut los apa nggak tapi lu percaya sama danantara apa nggak?,Masalahnyaa adalah ada si danantara yang membuat skemanya berubah sekua data dan informasi serta peta laju perusahaan berubah dan banyak kekhawatiran terhadap si danantara masalahnya bukan cut los apa nggak tapi lu percaya sama danantara apa nggak,2,0,False;;;
@Muhikhsan52 @LembagaKERIS Kemarin lihat danantara hanya fokus di hilirisasi Makanya digenjot kilang minyak baru dan nikel tembaga Semoga hasilnya tidak mengecewakan dan bisa mendukung alutsista,Kemarin lihat danantara hanya fokus di hilirisasi Makanya digenjot kilang minyak baru dan nikel tembaga Semoga hasilnya tidak mengecewakan dan bisa mendukung alutsista,1,0,False;;;
@FrediRandi4 Danantara makin pede wujudin harapan positif generasi sekarang dengan Joint Fund Rp 67 5 T arahan Presiden Prabowo,Danantara makin pede wujudin harapan positif generasi sekarang dengan Joint Fund Rp 67 5 T arahan Presiden Prabowo,1,0,False;;;
Penasaran berapa gaji semua posisi di Danantara tahun 2025? Dari admin staff sampai supervisor semuanya dibongkar lengkap per bulan! https://t.co/SQceGu99cY #InfoGaji #Danantara,Penasaran berapa gaji semua posisi di Danantara tahun 2025 Dari admin staff sampai supervisor semuanya dibongkar lengkap per bulan InfoGaji Danantara,2,0,False;;;
Danantara haram dana riba,Danantara haram dana riba,0,2,False;;;
Investasi asing pasti mengintervensi pelaku usaha mau Penasihat asing Danantara pasti memberi masukan/mungkin intervensi juga mau LSM dan Media dapat bantuan filantropi asing katanya intervensi kepada kedaulatan,Investasi asing pasti mengintervensi pelaku usaha mau Penasihat asing Danantara pasti memberi masukanmungkin intervensi juga mau LSM dan Media dapat bantuan filantropi asing katanya intervensi kepada kedaulatan,2,0,False;;;
@4justice_100225 Danantara untuk negri dukung teruss,Danantara untuk negri dukung teruss,2,1,False;;;
@RickyKardjono Tetap kawal DANANTARA MIN,Tetap kawal DANANTARA MIN,0,2,False;;;
udah bisa buat danantara tanpa potong potong budget pak bos @prabowo,udah bisa buat danantara tanpa potong potong budget pak bos,1,0,False;;;
Danantara Indonesia dan Cr├⌐dit Agricole CIB salah satu lembaga keuangan terkemuka asal Prancis secara resmi menandatangani MoU guna membentuk kerangka kerja sama strategis untuk mendukung investasi berkelanjutan https://t.co/pcBUzucqWE @AidilAKBAR,Danantara Indonesia dan Crdit Agricole CIB salah satu lembaga keuangan terkemuka asal Prancis secara resmi menandatangani MoU guna membentuk kerangka kerja sama strategis untuk mendukung investasi berkelanjutan,1,2,False;;;
Danantara itu potensi penyelewengan dana besar.,Danantara itu potensi penyelewengan dana besar,2,0,False;;;
Makane bro kamu yg pintar dan bisa buktikan sukses pernah kelola uang di atas 10.000T agar kamu jadi konsultan DANANTARA Indonesia membutuhkan kepiawaian management minus tutup celah korupsi dari ahlinya Bosnya DANANTARA siapa? Tetap WONG INDONESIA bro Melangitlah Indonesia,Makane bro kamu yg pintar dan bisa buktikan sukses pernah kelola uang di atas 10000T agar kamu jadi konsultan DANANTARA Indonesia membutuhkan kepiawaian management minus tutup celah korupsi dari ahlinya Bosnya DANANTARA siapa Tetap WONG INDONESIA bro Melangitlah Indonesia,1,0,False;;;
Ikut danantara hanya sebagai premis ,Ikut danantara hanya sebagai premis,2,0,False;;;
Yang slama ini kebanyakan nyimpen emiten Buang Cutloss yang kynya udah ga ada harapan. Kalau masih ada harapan (masuk list danantara misalnya) Yah boleh lah. Fokus average up aja ke max 6 emiten. biarin yg lain cuan berapa prsen fokus aja ke diri sndiri.,Yang slama ini kebanyakan nyimpen emiten Buang Cutloss yang kynya udah ga ada harapan Kalau masih ada harapan masuk list danantara misalnya Yah boleh lah Fokus average up aja ke max 6 emiten biarin yg lain cuan berapa prsen fokus aja ke diri sndiri,1,0,False;;;
@ARSIPAJA Lha Thaksin garong di Thailand aja masuk dewas danantara,Lha Thaksin garong di Thailand aja masuk dewas danantara,1,2,False;;;
Terkait Danantara gw punya satu kata yang mewakili apapun yg sudah dijelaskan baik oleh mereka yg ahli atau mereka yang peduli: BINOMO,Terkait Danantara gw punya satu kata yang mewakili apapun yg sudah dijelaskan baik oleh mereka yg ahli atau mereka yang peduli BINOMO,0,2,False;;;
@pagarkewarasan @sky_glas @tempodotco @prabowo nih buat @sky_glas yang ngeblokir gue ngerusak negara? - 28 koruptor ditangkap dalam 100 hari - Peningkatan Investasi - Efisiensi anggaran pejabat - Danantara MBG - Satgas anti mafia BBM semuanya dilakuin buat rakyat! musuh lo itu pejabat korup yg lo salahin presiden!blok,nih buat yang ngeblokir gue ngerusak negara 28 koruptor ditangkap dalam 100 hari Peningkatan Investasi Efisiensi anggaran pejabat Danantara MBG Satgas anti mafia BBM semuanya dilakuin buat rakyat musuh lo itu pejabat korup yg lo salahin presidenblok,1,0,False;;;
@idextratime danantara: utiwiiii,danantara utiwiiii,2,0,False;;;
@thelakeshadow Sikap tegas Danantara menepis isu yang tidak berdasar.,Sikap tegas Danantara menepis isu yang tidak berdasar,1,0,False;;;
@Marchfoward Indog akan menyusul 1MDB dengan kekuatan penuh dari DANANTARA,Indog akan menyusul 1MDB dengan kekuatan penuh dari DANANTARA,0,1,False;;;
Program ini bekerja sama dengan pemerintah komunitas lokal dan berbagai organisasi untuk menciptakan dampak yang lebih luas dan berkelanjutan. #DanantaraBangunNegeri #Danantara https://t.co/r5IrXnhO5X,Program ini bekerja sama dengan pemerintah komunitas lokal dan berbagai organisasi untuk menciptakan dampak yang lebih luas dan berkelanjutan DanantaraBangunNegeri Danantara,1,2,False;;;
@anarkinks karena beliau seorang Menteri peran beliau sebagai regulator kebijakan negara berpengaruh ke hajat hidup orang banyak baru kebijakan LPG kemarin aja pada kalang kabut kan beda sama temanmu yg DO gak tau kuliahnya sambil ngapain bismillah komisaris Danantara ,karena beliau seorang Menteri peran beliau sebagai regulator kebijakan negara berpengaruh ke hajat hidup orang banyak baru kebijakan LPG kemarin aja pada kalang kabut kan beda sama temanmu yg DO gak tau kuliahnya sambil ngapain bismillah komisaris Danantara,0,2,False;;;
Pak Presiden angkat Ho Ching sebagai Dewan Pengawas BPI Danantara. https://t.co/jevtfnT5AA 17 Tahun Jadi CEO Ho Ching Bikin Portofolio Naik 3 Kali Lipat https://t.co/qObSuRcj8Q,Pak Presiden angkat Ho Ching sebagai Dewan Pengawas BPI Danantara 17 Tahun Jadi CEO Ho Ching Bikin Portofolio Naik 3 Kali Lipat,2,1,False;;;
danantara itu bukan jadi superholding normal kayak META Alphabet dll tapi dipaksa jalankan dual mandate: mengelola bumn dan menjadi bank pembangunan negara,danantara itu bukan jadi superholding normal kayak META Alphabet dll tapi dipaksa jalankan dual mandate mengelola bumn dan menjadi bank pembangunan negara,0,2,False;;;
Kenapa Danantara Penting https://t.co/cL6QhS5WQL,Kenapa Danantara Penting,0,2,False;;;
@hastyslowly @primawansatrio okelah bukan buku tapi postingan dia pas banget setelah resign dari danantara itu teriak keras dia gasuka sesuatu dari Indonesia (setidaknya danantara),okelah bukan buku tapi postingan dia pas banget setelah resign dari danantara itu teriak keras dia gasuka sesuatu dari Indonesia setidaknya danantara,0,1,False;;;
Danantara Diawasi Ketat dan Berlapis Dony Oskaria: Audit Kapan Saja Bahkan Bisa 13 Kali Setahun https://t.co/aolt5QTrnm,Danantara Diawasi Ketat dan Berlapis Dony Oskaria Audit Kapan Saja Bahkan Bisa 13 Kali Setahun,1,0,False;;;
@BisKota_ Pesenan donat jco nya ray dalio kali. Kan doi mau resign dari danantara,Pesenan donat jco nya ray dalio kali Kan doi mau resign dari danantara,1,2,False;;;
@irwndfrry Menariknya ini tuh kayak ada orang yang cukup powerful buat cepuin megakorupsi kaya gini either dari pihak prabowo sebagai oengalihan isu danantara atau dari pihak PDIP buat balas Sekjennya yang ditangkap ,Menariknya ini tuh kayak ada orang yang cukup powerful buat cepuin megakorupsi kaya gini either dari pihak prabowo sebagai oengalihan isu danantara atau dari pihak PDIP buat balas Sekjennya yang ditangkap,2,0,False;;;
Kemaren sih ngomongnya enggak maen saham sahaman. Tapi sekarang bikin danantara yang masih satu domain Investasi . Negara apa sih ini,Kemaren sih ngomongnya enggak maen saham sahaman Tapi sekarang bikin danantara yang masih satu domain Investasi Negara apa sih ini,0,2,False;;;
@reaareaa__ Presiden Prabowo konsisten dukung Danantara langka banget pemimpin kayak gini,Presiden Prabowo konsisten dukung Danantara langka banget pemimpin kayak gini,1,0,False;;;
@mardigu024 UU PENYITAAN ASET DI SAHKAN DULU KEMUDIAN UNTUK PARA KORUPTOR 1. DI SURUH GANTI 10-100 KALILIPAT DARI YANG DIKORUPSINYA (masuk ke danantara) 2. DI CABUT DARI SEGALA JABATAN STRATEGIS (diberhentikan) 3. DICABUT HAK POLITIKNYA (biar tidak ada bekas koruptor ikutan politik),UU PENYITAAN ASET DI SAHKAN DULU KEMUDIAN UNTUK PARA KORUPTOR 1 DI SURUH GANTI 10100 KALILIPAT DARI YANG DIKORUPSINYA masuk ke danantara 2 DI CABUT DARI SEGALA JABATAN STRATEGIS diberhentikan 3 DICABUT HAK POLITIKNYA biar tidak ada bekas koruptor ikutan politik,1,0,False;;;
@Ary_PrasKe2 @Anak__Ogi @AntoniusCDN @becak50 @ch_chotimah2 @jhonsitorus_19 @kenhans03 @newIding30 @NgkongRoses @PakKarti @S4N_W1B1 Tujuan utama pendirian Danantara Supaya ada bahan tweak Di tweak dikit dah beda artinya padahal maksudnya sih sama aja ,Tujuan utama pendirian Danantara Supaya ada bahan tweak Di tweak dikit dah beda artinya padahal maksudnya sih sama aja,0,2,False;;;
@0tk0il Nambah keur danantara asyik tuch,Nambah keur danantara asyik tuch,0,1,False;;;
Dari infrastruktur hingga digitalisasi AI siap jadi andalan! Danantara dan @TelkomIndonesia menghadirkan solusi teknologi cerdas untuk kemajuan negeri. @KemenBUMN #telkomindonesia #bigbox #ai #danantara #artificialintelligence #tepatsolutifindonesia #bumn #elevatingyourfuture https://t.co/aGEyaTmnhi,Dari infrastruktur hingga digitalisasi AI siap jadi andalan Danantara dan menghadirkan solusi teknologi cerdas untuk kemajuan negeri telkomindonesia bigbox ai danantara artificialintelligence tepatsolutifindonesia bumn elevatingyourfuture,0,1,False;;;
@CakKhum Wah Soros ga suka liat line up danantara nih,Wah Soros ga suka liat line up danantara nih,1,0,False;;;
@TOM5helby Yg pntg tujuan utamanya Danantara sdh terlaksana,Yg pntg tujuan utamanya Danantara sdh terlaksana,2,1,False;;;
@rinti19 @JukiHoki Dana nya di ambil dr danantara kalo ga harta koruptor,Dana nya di ambil dr danantara kalo ga harta koruptor,2,0,False;;;
Pak SBY bener2 yeh beliau kmrin bilang di wawancara eksklusif Retno Pinasti SCTV ....presiden RI hanya satu yaitu pak Prabowo tidak ada matahari kembar jadi kita harus menghormati beliau . ah tp ternyata ga beda juga skrg sm Mul mulai join sana sini sejak Danantara kmrin,Pak SBY bener2 yeh beliau kmrin bilang di wawancara eksklusif Retno Pinasti SCTV presiden RI hanya satu yaitu pak Prabowo tidak ada matahari kembar jadi kita harus menghormati beliau ah tp ternyata ga beda juga skrg sm Mul mulai join sana sini sejak Danantara kmrin,0,1,False;;;
@V3g3L Sekalas dia sudah pasti tau kondisi Indonesia dielit2nya terlebih polemik danantara,Sekalas dia sudah pasti tau kondisi Indonesia dielit2nya terlebih polemik danantara,2,0,False;;;
@thelakeshadow CEO Danantara punya kontrol penuh atas situasi.,CEO Danantara punya kontrol penuh atas situasi,1,0,False;;;
@KatolikG Mingkin mendapatkan IMB dan kenyamanan beribadah dirasakan lebih besar manfaatnya dr pd jd pengurus Danantara. ,Mingkin mendapatkan IMB dan kenyamanan beribadah dirasakan lebih besar manfaatnya dr pd jd pengurus Danantara,2,1,False;;;
@tanyarlfes Ini orang paling kompeten buat ngurus Danantara,Ini orang paling kompeten buat ngurus Danantara,1,0,False;;;
